 ;Schlueter, Sonja / Gesamtertrag / Zaehleraenderung  [kWh];
01.11.13;11,156;
02.11.13;4,855;
03.11.13;18,121;
04.11.13;11,034;
05.11.13;14,626;
06.11.13;7,557;
07.11.13;4,522;
08.11.13;8,412;
09.11.13;17,135;
10.11.13;7,985;
11.11.13;19,053;
12.11.13;7,649;
13.11.13;18,862;
14.11.13;11,168;
15.11.13;12,625;
16.11.13;7,773;
17.11.13;7,087;
18.11.13;2,016;
19.11.13;0,972;
20.11.13;15,012;
21.11.13;2,554;
22.11.13;3,051;
23.11.13;2,036;
24.11.13;5,435;
25.11.13;5,805;
26.11.13;16,288;
27.11.13;7,869;
28.11.13;3,313;
29.11.13;2,022;
30.11.13;4,756;
